SKU,Qty Sold,GMV
"24234100","3","50,39 "
"87080500","2","33,60 "
"2045030500","1","42,01 "
"22285100","1","16,80 "
"23985100","7","117,59 "
"24413100","1","5,03 "
"23730100","1","8,40 "
"22490100","1","12,60 "
"49824500","8","67,16 "
"23624100","2","33,60 "
"23643100","10","58,74 "
"54766100","2","50,40 "
"24327100","2","20,15 "
"22058100","2","16,79 "
"22141100","2","11,75 "
"23889100","3","25,19 "
"19145100","32","403,09 "
"23418100","1","23,52 "
"69392800","4","110,89 "
"23650100","5","83,99 "
"24402100","3","20,14 "
"69321800","1","19,32 "
"12100100","14","470,47 "
"4433013100","2","3,34 "
"3512012500","4","40,30 "
"23592100","9","98,24 "
"807640500","17","285,57 "
"21209100","15","88,11 "
"19218100","8","235,23 "
"16874100","1","15,12 "
"8181100","56","940,70 "
"23134100","5","54,58 "
"403407500","5","105,00 "
"87322500","4","26,86 "
"23511100","1","15,12 "
"3774017500","15","630,13 "
"3792710100","3","10,06 "
"54076100","6","60,45 "
"54789100","1","6,71 "
"5921500","9","378,08 "
"18574100","2","25,19 "
"20264100","3","32,75 "
"3751700100","1","3,35 "
"23930100","22","184,69 "
"22984100","2","33,60 "
